,Business Name,Address,City,Permit_ID,Type,Class,Inspection_Date,Inspection_Type,Grade,Priority_Violations,Inspection_Details
29,Sun Lakes Golf & Tennis,25425  Sun Lakes Blvd  ,Sun Lakes,FD-02509,E & D  10+ Seating  ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-02509&i=5668794
30,Tempe Mission Palms Hotel,60 E 5th St  ,Tempe,FD-02537,E & D  10+ Seating  ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-02537&i=5668833
31,Tempe Mission Palms Hotel,60 E 5th St  ,Tempe,FD-02538,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-02538&i=5668831
32,Circle K Store  No 2701198,721 N 195th Ave  ,Buckeye,FD-02827,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-02827&i=5667875
33,Circle K Store  No 2701198,721 N 195th Ave  ,Buckeye,FD-02828,E & D  0-9 Seating  ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-02828&i=5667876
34,Honey Baked Ham,5066 W Olive Ave  ,Glendale,FD-02959,E & D  0-9 Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-02959&i=5667395
35,Circle K Store  No 2705307,3589 E Baseline Rd  ,Gilbert,FD-03011,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03011&i=5668958
36,Circle K Store  No 2705307,3589 E Baseline Rd  ,Gilbert,FD-03012,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03012&i=5668959
37,Circle K Store  No 2705023,1523 E Mcdowell Rd  ,Phoenix,FD-03020,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03020&i=5668897
38,Circle K Store  No 2705023,1523 E Mcdowell Rd  ,Phoenix,FD-03021,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03021&i=5668749
39,Sonic Drive In  No 1243,10969 N 83rd Ave  ,Peoria,FD-03067,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03067&i=5668543
40,Walgreens  No 03602,8816 E Pinnacle Peak Rd  ,Scottsdale,FD-03084,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03084&i=5668946
41,Childtime Child Care,3319 E Baseline Rd  ,Gilbert,FD-03174,Daycare Food Service    ,Class 3,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03174&i=5668030
42,Safeway  No 1510,20205 N 67th Ave  ,Glendale,FD-03204,Bakery    ,Class 2,03/11/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03204&i=5667671
43,Safeway  No 1510,20205 N 67th Ave  ,Glendale,FD-03205,E & D  0-9 Seating  ,Class 4,03/11/2024,Routine Inspection,B,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03205&i=5667674
44,Safeway  No 1510,20205 N 67th Ave  ,Glendale,FD-03206,Meat Market    ,Class 4,03/11/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03206&i=5667673
45,Safeway  No 1510,20205 N 67th Ave  ,Glendale,FD-03207,Retail Food Establishment    ,Class 3,03/11/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03207&i=5667670
46,Mercado Y Carniceria El Rodeo,9201 W Van Buren St  ,Tolleson,FD-03224,Meat Market    ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03224&i=5668772
47,Dobson High School,1501 W Guadalupe Rd  ,Mesa,FD-03316,Food Catering    ,Class 5,03/12/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03316&i=5668756
48,Sonic Drive In,6935 E Baseline Rd  ,Mesa,FD-03389,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03389&i=5668881
49,Brookdale East Arbor,6060 E Arbor Ave  ,Mesa,FD-03901,Assisted Living    ,Class 5,03/11/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03901&i=5667851
50,Wetzel's Pretzels,7014 E Camelback Rd Suite 2242,Scottsdale,FD-03964,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-03964&i=5668916
51,Hot Air Expeditions,2243 E Rose Garden Lp  Suite 1,Phoenix,FD-04023,E & D  0-9 Seating  ,Class 3,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04023&i=5668887
52,Tempe Mission Palms Hotel,60 E 5th St  ,Tempe,FD-04114,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04114&i=5668847
53,Charles Schwab,2423 E Lincoln Dr  ,Phoenix,FD-04131,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04131&i=5668407
54,Walgreens  No 4909,2921 N 83rd Ave  ,Phoenix,FD-04135,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04135&i=5668429
55,A & J Food Market,8212 W Thomas Rd  ,Phoenix,FD-04270,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04270&i=5668350
56,IHOP  No 1523,2100 S Power Rd  ,Gilbert,FD-04523,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04523&i=5668894
57,Our Lady Of Perpetual Help,7521 N 57th Ave  ,Glendale,FD-04546,Service Kitchen    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04546&i=5668157
58,Frys Food Store  No 12,18420 N 19th Ave  ,Phoenix,FD-04589,Meat Market    ,Class 4,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04589&i=5667607
59,Frys Food Store  No 12,18420 N 19th Ave  ,Phoenix,FD-04590,Retail Food Establishment    ,Class 3,03/11/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04590&i=5667608
60,Frys Food Store  No 12,18420 N 19th Ave  ,Phoenix,FD-04591,Bakery    ,Class 2,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04591&i=5667605
61,Frys Food Store  No 12,18420 N 19th Ave  ,Phoenix,FD-04592,E & D  0-9 Seating  ,Class 4,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04592&i=5667604
62,Chipotle Mexican Grill  No 0026,890 N 54th St Suite 5,Chandler,FD-04719,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,2,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04719&i=5668406
63,Marilyn Wilson Elementary School,5619 E Glade Ave  ,Mesa,FD-04754,School Food Service    ,Class 3,03/11/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04754&i=5667509
64,Avnet Inc,60 S Mckemy Ave  ,Chandler,FD-04881,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-04881&i=5668873
65,The Cheesecake Factory,15230 N Scottsdale Rd  ,Phoenix,FD-05010,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-05010&i=5667853
66,Circle K Store  No 2706358,8248 W Thomas Rd  ,Phoenix,FD-05012,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-05012&i=5668254
67,Circle K Store  No 2706358,8248 W Thomas Rd  ,Phoenix,FD-05052,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-05052&i=5668258
68,Frys Marketplace  No 641,3511 W Peoria Ave  ,Phoenix,FD-05101,Meat Market    ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-05101&i=5668383
69,Frys Marketplace  No 641,3511 W Peoria Ave  ,Phoenix,FD-05102,E & D  0-9 Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-05102&i=5668382
70,Frys Marketplace  No 641,3511 W Peoria Ave  ,Phoenix,FD-05103,Bakery    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-05103&i=5668384
71,Frys Marketplace  No 641,3511 W Peoria Ave  ,Phoenix,FD-05104,Retail Food Establishment    ,Class 3,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-05104&i=5668385
72,Pino's Pizzeria Al Centro,139 W Thomas Rd  ,Phoenix,FD-05178,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-05178&i=5668539
73,Mercado Y Carniceria El Rodeo,9201 W Van Buren St  ,Tolleson,FD-05440,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-05440&i=5668774
74,Zuni Hills Elementary  No 28,10851 W Williams Rd  ,Sun City,FD-05797,School Food Service    ,Class 3,03/11/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-05797&i=5667199
75,Whataburger  No 535,1840 S 19th Ave  ,Phoenix,FD-06292,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-06292&i=5668826
76,99 Cent Only Store  No 116,1240 E Indian School Rd  ,Phoenix,FD-06517,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-06517&i=5667785
77,Subway  No 7300,1911 W Main St Suite 1,Mesa,FD-06672,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-06672&i=5668837
78,Brookdale Arrowhead Ranch,5861 W Beverly Ln  ,Glendale,FD-06673,Assisted Living    ,Class 5,03/11/2024,Routine Inspection,C,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-06673&i=5667363
79,Brookdale North Mesa,2122 E Brown Rd  ,Mesa,FD-06685,Assisted Living    ,Class 5,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-06685&i=5668348
80,Mercado Y Carniceria El Rodeo,9201 W Van Buren St  ,Tolleson,FD-06893,E & D  0-9 Seating  ,Class 4,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-06893&i=5668778
81,Jack In The Box  No 142,1935 W Thunderbird Rd  ,Phoenix,FD-06969,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-06969&i=5667191
82,Sunny Days Learning Center,2100 W Chandler Blvd Suite 32,Chandler,FD-06971,Service Kitchen    ,Class 2,03/11/2024,Routine Inspection,B,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-06971&i=5667845
83,Skin Cabaret,1137 N Scottsdale Rd  ,Scottsdale,FD-06996,E & D  10+ Seating  ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-06996&i=5668953
84,Panda Express  No 763,7510 W Thomas Rd Suite C-100,Phoenix,FD-07023,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-07023&i=5667901
85,Poke & Ramen,6825 E Main St  ,Mesa,FD-07363,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-07363&i=5668848
86,Starbucks Coffee  No 6942,8912 E Pinnacle Peak Rd Suite F8,Scottsdale,FD-07450,E & D  10+ Seating  ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-07450&i=5668947
87,Red Robin Gourmet Burgers,10240 W Mcdowell Rd  ,Avondale,FD-07922,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-07922&i=5667931
88,Safeway  No 1510,20205 N 67th Ave  ,Glendale,FD-07966,E & D  10+ Seating  ,Class 2,03/11/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-07966&i=5667672
89,Tarbell's,3213 E Camelback Rd  ,Phoenix,FD-08037,Food Catering    ,Class 5,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08037&i=5667915
90,Am/Pm Mini Mart  No 82561,25 W Mckellips Rd  ,Mesa,FD-08118,E & D  0-9 Seating  ,Class 4,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08118&i=5668981
91,Am/Pm Mini Mart  No 82561,25 W Mckellips Rd  ,Mesa,FD-08119,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08119&i=5668980
92,Subway  No  31645,7510 W Thomas Rd Suite 104,Phoenix,FD-08137,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08137&i=5667769
93,Dobson High School,1501 W Guadalupe Rd  ,Mesa,FD-08156,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08156&i=5668759
94,Temple Kol Ami Early Childhood Center,15030 N 64th St  ,Scottsdale,FD-08347,Service Kitchen    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08347&i=5668821
95,Shell,2623 W Dunlap Ave  ,Phoenix,FD-08528,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08528&i=5667775
96,Shell,2623 W Dunlap Ave  ,Phoenix,FD-08529,E & D  0-9 Seating  ,Class 2,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08529&i=5667660
97,Los Reyes De La Torta,9230 N 7th St Suite E,Phoenix,FD-08578,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08578&i=5668922
98,Taco Bell  No  22003,4351 W Olive Ave  ,Glendale,FD-08769,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08769&i=5667814
99,Chipotle Mexican Grill  No 0542,1560 N Litchfield Rd  ,Goodyear,FD-08811,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08811&i=5668234
100,Wal-Mart Market  No 3315,4230 W Union Hills Dr  ,Glendale,FD-08834,E & D  0-9 Seating  ,Class 4,03/12/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08834&i=5668300
101,Wal-Mart Market  No 3315,4230 W Union Hills Dr  ,Glendale,FD-08835,Meat Market    ,Class 4,03/12/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-08835&i=5668250
102,Bowlero Kyrene,6225 W Chandler Blvd  ,Chandler,FD-09196,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-09196&i=5668927
103,La Loma Village,14154  Denny Blvd  ,Litchfield Park,FD-09207,E & D  10+ Seating  ,Class 5,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-09207&i=5667861
104,La Barquita Restaurant,2334 E Mcdowell Rd  ,Phoenix,FD-09263,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-09263&i=5667995
105,Sun Health La Loma Care Center,14260  Denny Blvd  ,Litchfield Park,FD-09551,Nursing Home    ,Class 5,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-09551&i=5667857
106,Sun Health La Loma Care Center,14260  Denny Blvd  ,Litchfield Park,FD-09558,Service Kitchen    ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-09558&i=5667859
107,Nana's Place,4910 W Northern Ave  ,Glendale,FD-09765,Daycare Food Service    ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-09765&i=5667594
108,Bj's Restaurant & Brew House,21001 N Tatum Blvd Suite 92/PAD N,Phoenix,FD-09983,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-09983&i=5667935
109,Jack In The Box  No 1133,1911 S Power Rd  ,Mesa,FD-10035,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-10035&i=5668875
110,El Alamo Carniceria,773 E Chandler Blvd  ,Chandler,FD-10122,Meat Market    ,Class 4,03/11/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-10122&i=5667848
111,George's Famous Gyros,7620 E Mckellips Rd Suite 6,Scottsdale,FD-10288,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-10288&i=5668573
